Lot.Area,Lot.Shape,Total.Bsmt.SF,Gr.Liv.Area,has.Fireplace,SalePrice,Bldg.Type.simple,Year.Built,Full.Bath,Bedroom.AbvGr,Garage.Area,has.Pool
"[ 11560,215245]",IR1,"[ 990,6110]",1656,1,215000,1Fam,"[1872,1973)",1,3,"[ 480,1488]",0
"[ 11560,215245]",Reg,"[   0, 990)",896,0,105000,1Fam,"[1872,1973)",1,2,"[ 480,1488]",0
"[ 11560,215245]",IR1,"[ 990,6110]",1329,0,172000,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[  7440, 11560)",Reg,"[ 990,6110]",2110,1,244000,1Fam,"[1872,1973)",2,3,"[ 480,1488]",0
"[ 11560,215245]",IR1,"[   0, 990)",1629,1,189900,1Fam,"[1973,2010]",2,3,"[ 480,1488]",0
"[  7440, 11560)",IR1,"[   0, 990)",1604,1,195500,1Fam,"[1973,2010]",2,3,"[   0, 480)",0
"[  1300,  7440)",Reg,"[ 990,6110]",1338,0,213500,Twnhs,"[1973,2010]",2,2,"[ 480,1488]",0
"[  1300,  7440)",IR1,"[ 990,6110]",1280,0,191500,Twnhs,"[1973,2010]",2,2,"[ 480,1488]",0
"[  1300,  7440)",IR1,"[ 990,6110]",1616,1,236500,Twnhs,"[1973,2010]",2,2,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[ 990,6110]",1804,1,189000,1Fam,"[1973,2010]",2,3,"[   0, 480)",0
"[  7440, 11560)",IR1,"[   0, 990)",1655,1,175900,1Fam,"[1973,2010]",2,3,"[   0, 480)",0
"[  7440, 11560)",IR1,"[ 990,6110]",1187,0,185000,1Fam,"[1973,2010]",2,3,"[   0, 480)",0
"[  7440, 11560)",IR1,"[   0, 990)",1465,1,180400,1Fam,"[1973,2010]",2,3,"[   0, 480)",0
"[  7440, 11560)",Reg,"[ 990,6110]",1341,1,171500,1Fam,"[1973,2010]",1,2,"[ 480,1488]",0
"[  1300,  7440)",IR1,"[ 990,6110]",1502,0,212000,Twnhs,"[1973,2010]",1,1,"[ 480,1488]",0
"[ 11560,215245]",IR2,"[ 990,6110]",3279,1,538000,1Fam,"[1973,2010]",3,4,"[ 480,1488]",0
"[ 11560,215245]",IR1,"[   0, 990)",1752,0,164000,1Fam,"[1973,2010]",2,4,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[ 990,6110]",1856,1,394432,1Fam,"[1973,2010]",1,1,"[ 480,1488]",0
"[ 11560,215245]",Reg,"[   0, 990)",864,0,141000,1Fam,"[1872,1973)",1,2,"[   0, 480)",0
"[ 11560,215245]",Reg,"[ 990,6110]",2073,1,210000,1Fam,"[1973,2010]",2,3,"[ 480,1488]",0
"[ 11560,215245]",IR1,"[ 990,6110]",1844,1,190000,1Fam,"[1973,2010]",2,3,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[ 990,6110]",1173,1,170000,1Fam,"[1973,2010]",2,3,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[   0, 990)",1674,0,216000,1Fam,"[1973,2010]",2,3,"[ 480,1488]",0
"[  7440, 11560)",IR1,"[ 990,6110]",1004,1,149000,1Fam,"[1872,1973)",1,2,"[ 480,1488]",0
"[ 11560,215245]",IR1,"[ 990,6110]",1078,1,149900,1Fam,"[1872,1973)",1,3,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[ 990,6110]",1056,1,142000,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[  7440, 11560)",Reg,"[   0, 990)",882,0,126000,1Fam,"[1872,1973)",1,2,"[ 480,1488]",0
"[  7440, 11560)",Reg,"[   0, 990)",864,1,115000,1Fam,"[1872,1973)",1,3,"[   0, 480)",0
"[  1300,  7440)",IR1,"[ 990,6110]",1337,1,184000,Twnhs,"[1973,2010]",2,2,"[ 480,1488]",0
"[  1300,  7440)",Reg,"[   0, 990)",987,0,96000,Twnhs,"[1872,1973)",1,2,"[   0, 480)",0
"[  1300,  7440)",Reg,"[   0, 990)",1092,0,105500,Twnhs,"[1872,1973)",1,3,"[   0, 480)",0
"[  1300,  7440)",Reg,"[   0, 990)",1092,0,88000,Twnhs,"[1872,1973)",1,3,"[   0, 480)",0
