"AGEP","COW","JWMNP","LANX","MAR","SEX","WKHP","DIS","PERNP","Hispanic","Stem","Education","Region","CIT2","RAC"
34,1,15,2,3,2,40,2,28000,0,"NoDeg",14,"East Central Wisconsin ",1,1
46,1,15,2,1,2,45,2,65000,0,"No",16,"Central Wisconsin ",1,1
42,1,3,2,1,1,45,2,52000,0,"NoDeg",12,"West Central Wisconsin",1,1
34,1,6,2,5,1,37,2,22000,0,"NoDeg",12,"Milwaukee City",1,2
33,1,20,2,3,2,40,2,27500,0,"NoDeg",13,"West Central Wisconsin",1,1
33,1,5,2,3,2,40,2,29200,1,"NoDeg",12,"Southwest and South Central Wisconsin",1,1
57,1,10,1,1,1,15,2,10000,1,"Yes",20,"Milwaukee City",1,1
51,4,20,2,1,2,40,2,52000,0,"NoDeg",13,"Northeast Wisconsin ",1,1
35,6,1,2,1,1,40,2,10000,0,"NoDeg",12,"Central Wisconsin ",1,1
56,1,10,2,1,2,49,2,62000,0,"NoDeg",12,"West Central Wisconsin",1,1
34,1,54,2,1,1,45,2,52000,0,"NoDeg",14,"Southwest and South Central Wisconsin ",1,1
63,1,30,2,1,1,20,2,15000,0,"Yes",16,"Southwest and South Central Wisconsin",1,1
37,6,6,2,1,2,40,2,14000,0,"NoDeg",12,"West Central Wisconsin",1,1
42,1,15,2,3,2,45,1,15000,0,"NoDeg",12,"West Central Wisconsin",1,1
53,1,45,2,1,1,50,2,60000,0,"Yes",18,"East Central Wisconsin",1,1
37,1,20,2,1,2,25,2,12000,0,"Yes",16,"Northwest Wisconsin",1,1
27,1,47,1,1,1,30,2,14100,0,"NoDeg",13,"Southeast Wisconsin ",1,1
55,1,25,2,3,1,59,2,40000,0,"NoDeg",12,"Northeast Wisconsin ",1,1
51,1,5,2,3,2,30,1,6100,0,"NoDeg",13,"West Central Wisconsin",1,1
34,4,60,2,3,1,40,2,42000,0,"No",18,"West Central Wisconsin",1,1
65,1,40,1,1,1,24,2,16400,0,"NoDeg",13,"Northeast Wisconsin ",1,1
57,2,15,2,3,1,40,2,30000,0,"NoDeg",12,"Milwaukee City",1,1
58,1,45,2,1,1,40,1,32000,0,"NoDeg",12,"Milwaukee County",1,1
51,4,30,2,1,2,40,2,20800,0,"Yes",16,"Southwest and South Central Wisconsin",1,1
53,3,60,2,1,2,40,2,78000,0,"No",16,"Southwest and South Central Wisconsin ",1,1
55,1,146,2,1,1,45,2,36400,0,"NoDeg",13,"Waukesha County",1,1
38,1,45,2,1,1,40,2,72000,0,"NoDeg",12,"Southeast Wisconsin ",1,1
27,1,15,2,5,1,45,2,120000,0,"Yes",16,"Madison and Dane County",1,1
64,1,30,2,1,1,45,2,102000,0,"NoDeg",12,"West Central Wisconsin",1,1
35,1,70,2,5,1,40,2,112000,0,"No",18,"East Central Wisconsin ",1,1
40,1,45,2,5,2,38,2,23000,0,"NoDeg",14,"Central Wisconsin ",1,1
52,1,40,2,3,1,44,2,32000,0,"NoDeg",12,"West Central Wisconsin",1,1
50,1,30,2,3,2,20,2,2200,0,"NoDeg",12,"Southwest and South Central Wisconsin ",1,1
56,2,1,2,1,1,40,2,90000,0,"No",16,"Madison and Dane County",1,1
59,6,146,2,1,1,40,2,50000,0,"NoDeg",12,"Waukesha County",1,1
35,1,30,2,1,1,45,2,39000,0,"NoDeg",12,"Southwest and South Central Wisconsin",1,1
38,1,10,2,1,1,60,2,69000,0,"No",16,"Madison and Dane County",1,1
56,1,20,2,1,1,45,2,120000,0,"No",16,"Madison and Dane County",1,1
51,1,1,2,2,2,52,2,7000,0,"NoDeg",12,"Southwest and South Central Wisconsin ",1,1
61,3,10,2,1,2,35,2,12700,0,"NoDeg",12,"Northeast Wisconsin ",1,1
29,1,20,1,1,2,40,2,40000,1,"NoDeg",12,"Southeast Wisconsin ",2,1
28,6,30,1,1,1,80,2,65000,0,"NoDeg",8,"West Central Wisconsin",1,1
27,3,15,2,5,1,50,2,44000,0,"Yes",16,"Milwaukee City",1,1
43,1,15,2,3,1,65,2,60000,0,"NoDeg",12,"Southeast Wisconsin ",1,1
56,7,30,2,1,2,50,2,48000,0,"NoDeg",12,"East Central Wisconsin ",1,1
43,1,35,2,1,1,50,2,119000,0,"Yes",18,"Central Wisconsin ",1,1
53,2,25,2,1,2,40,2,50000,0,"Yes",16,"Central Wisconsin ",1,1
58,1,20,2,1,2,43,2,28800,0,"NoDeg",12,"East Central Wisconsin ",1,1
24,2,30,2,5,2,40,2,32000,0,"NoDeg",12,"Madison and Dane County",1,1
37,1,55,2,1,2,37,2,35000,0,"NoDeg",12,"Southwest and South Central Wisconsin",1,1
49,1,20,2,5,1,55,2,111000,0,"No",16,"Waukesha County",1,1
56,1,1,2,1,1,60,2,366000,0,"No",16,"Madison and Dane County",1,1
30,1,20,2,5,2,37,2,13000,0,"NoDeg",12,"East Central Wisconsin ",1,1
63,1,15,2,1,1,50,2,32000,0,"NoDeg",12,"Northeast Wisconsin ",1,1
54,1,10,2,1,1,45,2,80000,0,"Yes",18,"East Central Wisconsin ",1,1
32,2,10,2,1,1,40,2,49000,0,"Yes",18,"Madison and Dane County",1,1
47,2,15,2,1,2,22,2,13900,0,"NoDeg",14,"West Central Wisconsin",1,1
